Question,Option A,Option B,Option C,Option D,Correct Answer,Answer Option,Year,Difficulty,Topic,Explanation
"1. During which of the following periods did the Constituent Assembly deliberate upon and finalize the Constitution of India? (A) December 1946-November, 1949 (B) December 1947-November, 1949 (C) November 1946-November, 1949 (D) November 1947-November, 1949.","December 1946-November, 1949","December 1947-November, 1949","November 1946-November, 1949","November 1947-November, 1949.","December 1946-November, 1949. Explanation: The first session of Constitution assembly was held in the Constituent Hall, Delhi in 9th December 1946. The Constitution was adopted on 26th November in 1949. The calculation of total working days is 2 years 11 months and 17 days.",A,,Medium,Making of the Constitution,"The first session of Constitution assembly was held in the Constituent Hall, Delhi in 9th December 1946. The Constitution was adopted on 26th November in 1949. The calculation of total working days is 2 years 11 months and 17 days."
2. What does the term 'sovereign' imply? (A) Free from territorial disputes (B) Free from control by any international body (C) Free from external control (D) Free from internal control.,Free from territorial disputes,Free from control by any international body,Free from external control,Free from internal control.,"Free from external control. Explanation: In Polity the term 'Sovereign' means a bounded territorial region, which is completely free from external control. For example, India is a sovereign country, it does not under the suzerainty of any other country. The term 'Dominion' is the opposite term of 'Sovereign'. Dominion country means the country is ruled by the people of the country, but the supreme authority is held by some other country. It is similar to an Autonomous College under certain University or an autonomous university which follow the rules of UGC.",C,,Medium,Miscellaneous,"In Polity the term 'Sovereign' means a bounded territorial region, which is completely free from external control. For example, India is a sovereign country, it does not under the suzerainty of any other country. The term 'Dominion' is the opposite term of 'Sovereign'. Dominion country means the country is ruled by the people of the country, but the supreme authority is held by some other country. It is similar to an Autonomous College under certain University or an autonomous university which follow the rules of UGC."
3. What is the chief source of political power in India? (A) The Parliament (B) The Constitution (C) The people (D) None.,The Parliament,The Constitution,The people,None.,"The people. Explanation: In the first line of preamble it is declared that 'WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC'. So, The people of India is the main source of political power. It is the main features of a democratic country we people will decide who will rule the nation.",C,,Medium,Parliament,"In the first line of preamble it is declared that 'WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC'. So, The people of India is the main source of political power. It is the main features of a democratic country we people will decide who will rule the nation."
"4. The Preamble to the Constitution declares India as (A) a Sovereign, Socialist, Secular, Democratic, Republic (B) a Federal, Democratic, Republic (C) a Sovereign, Democratic, Republic (D) a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic","a Federal, Democratic, Republic","a Sovereign, Democratic, Republic","a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic. Explanation: The other important words of the preamble are JUSTICE, LIBERTY, EQUALITY, FRATERNITY, Unity, Integrity. The date mentioned in the preamble is the 26th day of November 1949",A,,Medium,Preamble of the Constitution,"The other important words of the preamble are JUSTICE, LIBERTY, EQUALITY, FRATERNITY, Unity, Integrity. The date mentioned in the preamble is the 26th day of November 1949"
5. India's political system is (A) Military (B) Dictatorial (C) Democratic (D) None of these.,Military,Dictatorial,Democratic,None of these.,"Democratic. Explanation: The term ‘democracy’ is derived from Greek words, which mean rule by people, But rule by people is not viable for a country so representative of people will rule the nation. The representative may be elected post or dynastic ( monarchy i.e. ruled by king or queen). So, there are many countries which are democratic in nature but not a republic like, England, Japan etc these are technically a monarchy ruled country. India is a democratic republic and multi-party government. China follows a unitary form of government.",C,,Medium,Miscellaneous,"The term ‘democracy’ is derived from Greek words, which mean rule by people, But rule by people is not viable for a country so representative of people will rule the nation. The representative may be elected post or dynastic ( monarchy i.e. ruled by king or queen). So, there are many countries which are democratic in nature but not a republic like, England, Japan etc these are technically a monarchy ruled country. India is a democratic republic and multi-party government. China follows a unitary form of government."
6. The Constitution of India established a Parliamentary system of Government following the pattern of (A) Canada (B) Sweden (C) France (D) Britain.,Canada,Sweden,France,Britain.,"Britain.. Explanation: Indian government is a parliamentary form of government and not a Presidential form of government. The Council of the ministers is collectively responsible to Lok-Sabha as per the article 75(3). Although the supreme lawmaking authority is vested with the Constitution. So, the legislature of the country makes laws following the provisions of the Constitution.",D,,Medium,Parliament,"Indian government is a parliamentary form of government and not a Presidential form of government. The Council of the ministers is collectively responsible to Lok-Sabha as per the article 75(3). Although the supreme lawmaking authority is vested with the Constitution. So, the legislature of the country makes laws following the provisions of the Constitution."
"7. The Constitution of India is (A) Flexible (B) Very rigid (C) Rigid (D) Partly rigid, partly flexible.",Flexible,Very rigid,Rigid,"Partly rigid, partly flexible.","Partly rigid, partly flexible.. Explanation: There are a few provision in the constitution which can be amended with a simple majority of both house, there are also a few provisions which needs a special majority and in some case, it needs to be attained ratification of half of the state legislature when the provision is related to federal structure of nation. There are some provisions which cannot amend, those are called the basic feature of the constitution. So, we can say that the Indian Constitution is partly flexible and partly rigid.",D,,Medium,Miscellaneous,"There are a few provision in the constitution which can be amended with a simple majority of both house, there are also a few provisions which needs a special majority and in some case, it needs to be attained ratification of half of the state legislature when the provision is related to federal structure of nation. There are some provisions which cannot amend, those are called the basic feature of the constitution. So, we can say that the Indian Constitution is partly flexible and partly rigid."
8. The system of Indian democracy is (A) Presidential form of Government (B) Multi-party and Parliamentary in nature (C) By-party and Parliamentary in nature (D) None of the above.,Presidential form of Government,Multi-party and Parliamentary in nature,By-party and Parliamentary in nature,None of the above.,Multi-party and Parliamentary in nature.,B,,Medium,Parliament,
9. How many members were initially in the Constituent Assembly of India? (A) 389 (B) 310 (C) 300 (D) 304.,389,310,300,304.,389.,A,,Medium,Making of the Constitution,
"10. The Preamble to the Constitution declares India as (A) a Sovereign, Socialist, Secular, Democratic, Republic (B) a Federal, Democratic, Republic (C) a Sovereign, Democratic, Republic (D) a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic","a Federal, Democratic, Republic","a Sovereign, Democratic, Republic","a Socialist, Democratic, Republic.","a Sovereign, Socialist, Secular, Democratic, Republic.",A,,Medium,Preamble of the Constitution,
